card,effect
Nekogal #1,"A pussycat-fairy. Contrary to her lovely beauty, she claws on her enemies."
Nekogal #2,A fast and lethal creature with very dangerous claws.
Nekroz Cycle,"This card can be used to Ritual Summon any ""Nekroz"" Ritual Monster. Tribute monsters from your hand or field, then Ritual Summon 1 ""Nekroz"" Ritual Monster from your hand or Graveyard whose Level exactly equals the total Levels of those monsters. You can only use this effect of ""Nekroz Cycle"" once per turn. If you control no monsters: You can banish this card and 1 ""Nekroz"" monster from your Graveyard; add 1 ""Nekroz"" Spell Card from your Deck to your hand."
Nekroz Kaleidoscope,"This card can be used to Ritual Summon any number of ""Nekroz"" Ritual Monsters. Tribute 1 monster from your hand or field, or send 1 monster from your Extra Deck to the Graveyard, also, after that, Ritual Summon any number of ""Nekroz"" monsters whose total Levels exactly equal the Level of that monster. You can only use this effect of ""Nekroz Kaleidoscope"" once per turn. If you control no monsters: You can banish this card and 1 ""Nekroz"" monster from your Graveyard; add 1 ""Nekroz"" Spell Card from your Deck to your hand."
Nekroz Mirror,"This card can be used to Ritual Summon any ""Nekroz"" Ritual Monster. Tribute monsters from your hand or field, and/or banish ""Nekroz"" monsters from your Graveyard, then Ritual Summon 1 ""Nekroz"" Ritual Monster from your hand whose Level exactly equals the total Levels of those monsters. You can only use this effect of ""Nekroz Mirror"" once per turn. If you control no monsters: You can banish this card and 1 ""Nekroz"" monster from your Graveyard; add 1 ""Nekroz"" Spell Card from your Deck to your hand."
Nekroz of Brionac,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using ""Nekroz of Brionac"", and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Brionac"" once per turn.
● You can discard this card; add 1 ""Nekroz"" monster from your Deck to your hand, except ""Nekroz of Brionac"".
● You can target up to 2 face-up monsters on the field that were Special Summoned from the Extra Deck; shuffle them into the Deck."
Nekroz of Catastor,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using ""Nekroz of Catastor"", and cannot be Special Summoned by other ways. You can discard this card, then target 1 ""Nekroz"" monster in your Graveyard; Special Summon it. You can only use this effect of ""Nekroz of Catastor"" once per turn. At the start of the Damage Step, if a ""Nekroz"" monster you control battles an opponent's face-up monster that was Special Summoned from the Extra Deck: Destroy that monster."
Nekroz of Clausolas,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Clausolas"" once per turn.
● You can discard this card; add 1 ""Nekroz"" Spell/Trap Card from your Deck to your hand.
● During either player's turn: You can target 1 face-up monster on the field that was Special Summoned from the Extra Deck; until the end of this turn, that target's ATK becomes 0, also that target's effects are negated."
Nekroz of Decisive Armor,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using any Level 10 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Decisive Armor"" once per turn.
● During either player's turn: You can discard this card, then target 1 ""Nekroz"" monster you control; it gains 1000 ATK and DEF until the end of this turn.
● You can target 1 Set card your opponent controls; destroy it, and if you do, banish it."
Nekroz of Gungnir,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, without using any Level 7 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Gungnir"" once per turn.
● During either player's turn: You can discard this card, then target 1 ""Nekroz"" monster you control; it cannot be destroyed by battle or by card effects this turn.
● During either player's turn: You can discard 1 ""Nekroz"" card, then target 1 card on the field; destroy it."
Nekroz of Sophia,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned from your hand by using 3 monsters you control with different Types, and cannot be Special Summoned by other ways. During either player's Main Phase 1: You can discard this card and 1 ""Nekroz"" Spell Card; your opponent cannot Special Summon monsters from the Extra Deck during this phase. When this card is Ritual Summoned: You can banish all other cards on the field and in the Graveyards. You cannot Normal Summon/Set or Special Summon other monsters the turn you activate this effect."
Nekroz of Trishula,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using any Level 9 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Trishula"" once per turn.
● During either player's turn, when a card or effect is activated that targets a ""Nekroz"" monster(s) you control: You can discard this card; negate the activation.
● When this card is Ritual Summoned, you can: Banish exactly 3 of your opponent's cards, 1 each from their hand, field, and Graveyard. (The card in the hand is chosen at random.)"
Nekroz of Unicore,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned and cannot be Special Summoned by other ways. You can discard this card, then target 1 ""Nekroz"" card in your Graveyard, except ""Nekroz of Unicore""; add it to your hand. You can only use this effect of ""Nekroz of Unicore"" once per turn. Negate the effects of face-up monsters on the field that were Special Summoned from the Extra Deck."
Nekroz of Valkyrus,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using any Level 8 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Valkyrus"" once per turn.
● When an opponent's monster declares an attack: You can banish 1 ""Nekroz"" card from your Graveyard and discard this card; negate the attack, then end the Battle Phase.
● During your Main Phase: You can Tribute up to 2 monsters from your hand and/or your side of the field, and if you do, draw the same number of cards you Tributed."
Nemuriko,A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.
Neo Aqua Madoor,"The true nature of this wizard, who rules all water. It defends itself with a vast, impenetrable wall of ice."
Neo Blue-Eyes Ultimate Dragon,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""
At the end of the Damage Step, if this is the only face-up card you control, and this Fusion Summoned card attacked: You can send 1 ""Blue-Eyes"" Fusion Monster from your Extra Deck to the Graveyard; this card can attack again in a row. You can use this effect of ""Neo Blue-Eyes Ultimate Dragon"" up to twice per turn. During either player's turn, when a card or effect is activated that targets a ""Blue-Eyes"" monster(s) you control: You can banish this card from your Graveyard; negate the activation, and if you do, destroy that card."
Neo Bug,A huge bug-like monster said to come from another planet. It gathers in swarms.
Neo Flamvell Garuda,"During your End Phase, if you control another face-up ""Flamvell"" monster, select 1 card in your opponent's Graveyard and remove it from play."
Neo Flamvell Hedgehog,"If this card is destroyed by battle, select 1 card in your opponent's Graveyard and remove it from play. If this card on the field is destroyed by a card effect, select 1 FIRE monster with 200 or less DEF in your Graveyard, except ""Neo Flamvell Hedgehog"", and add it to your hand."
Neo Flamvell Lady,"(Quick Effect): You can send 1 FIRE monster from your hand to the GY, then target 1 card in your opponent's GY; banish it. If a card(s) in your opponent's GY is banished while this monster is on the field (except during the Damage Step): You can send 1 FIRE monster with 200 DEF or less from your Deck to the GY, except ""Neo Flamvell Lady"". You can only use each effect of ""Neo Flamvell Lady"" once per turn."
